"Theta [deg]","dB(rETotal) [] - Freq='25GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.5GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.9GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.95GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='26GHz' Phi='90.0000000000002deg'"
129,15.8786767924525,15.9062855934059,15.7956883765708,15.768558795409,15.7374871917647
130,15.801758721922,15.7729234003333,15.6029853694915,15.5844997211594,15.5731751450265
131,15.6391178211262,15.5864767848673,15.469468424817,15.4872049873448,15.5092868935473
132,15.4413669130155,15.3364619287675,15.3896814503548,15.4063375798724,15.415278365379
133,15.2150719261732,15.1230565115116,15.2050807366955,15.1980972512777,15.1878024685061
134,14.9184587542333,14.9412484077277,14.9514304200117,14.9569135219868,14.9677337679925
135,14.5937436953928,14.6933021335422,14.752342399857,14.7739158220322,14.7923423527227
136,14.2923853352405,14.4089936808205,14.5092926501333,14.5042884778233,14.49025793682
137,13.9786273314636,14.1504137481274,14.1063920340489,14.0828766162497,14.0636288995832
138,13.6393041995127,13.8267983950982,13.6803517239975,13.6945528366043,13.7222280662675
139,13.3248820537222,13.3566196018691,13.3857319518704,13.4357085367107,13.4855973965575
140,13.0026781133157,12.8555254985142,13.1080580851433,13.1374977061123,13.1553451535599
141,12.5515116943387,12.4683417932995,12.6878355420808,12.6827495413687,12.6728710318547
142,11.9583297568479,12.1268571995194,12.1681052746481,12.1639234305983,12.1662087087611
143,11.3851310468279,11.6851671149765,11.6682759132133,11.682994069214,11.7041505194147
144,10.9606108390858,11.150953065432,11.1843602420245,11.1994426693897,11.2161973943067
145,10.5946458391021,10.6334406356826,10.6467053987568,10.6492489209274,10.65143719214
146,10.1368177781383,10.1536253949161,10.0576411274159,10.0489110406615,10.0355281166086
147,9.59871538182188,9.6381695745835,9.45509997647753,9.42403273245143,9.38417887789056
148,9.13720741843989,9.07605432756869,8.82641054960538,8.76104655233018,8.70140966245725
149,8.85588408620358,8.56512914657888,8.16978901431212,8.10755818277528,8.09139771208829
150,8.69076635960483,8.18696418881354,7.6180578919167,7.64755930733322,7.75107298637562
151,8.52933038446242,7.90230017725867,7.3861248380493,7.54379182696088,7.74116546712014
152,8.35801474397562,7.62620431981482,7.51744153820969,7.71134583444517,7.8745567302034
153,8.27311796983965,7.36899209227204,7.80576124892072,7.90173470172846,7.91657657645537
154,8.3781196313759,7.27869198391051,8.01408827585744,7.93688879834346,7.76881371126562
155,8.66955686975389,7.52478748180749,8.04134568430412,7.80247834712934,7.50935990184848
156,9.03792266537467,8.10238759527284,7.94868415442735,7.64656640638777,7.36932493748341
157,9.36973265086228,8.8150993378501,7.93100976448784,7.71497637578135,7.59653415991262
158,9.62784334284342,9.45147083798483,8.20161618139607,8.16105893965779,8.21663099827331
159,9.86292751122526,9.90547509917652,8.79965949712639,8.88708400722604,9.01086591624436
160,10.1700054326674,10.1861710319769,9.55644557732188,9.66033464708821,9.74559913799029
161,10.6126015963881,10.3868440742322,10.2692963191907,10.3111099635318,10.3124526786751
162,11.1699910711776,10.6343456367664,10.8295976607496,10.7902634460596,10.721011059703
163,11.75754777435,11.0165759622741,11.2302837439301,11.1385938378932,11.0494464920196
164,12.2871896050569,11.5298701451334,11.5296584878649,11.4407732324012,11.3908596490543
165,12.706352988239,12.0973999678338,11.81044409017,11.7778016874012,11.8024677251884
166,13.00352422683,12.6307724429323,12.1392011547029,12.1873340262074,12.2808678213208
167,13.1980508921761,13.0718462957926,12.5378817064507,12.6533032596504,12.778708126826
168,13.3268578091976,13.3998554468382,12.9836455452372,13.1284194000408,13.240772598676
169,13.4315429419728,13.6218498781717,13.4323638631767,13.5649498222898,13.6286697648684
170,13.5468319517534,13.7607114708227,13.8434543341498,13.9320706913004,13.9267080855046
171,13.6925678657348,13.8451974134591,14.1919164106352,14.2182768861349,14.1372788495643
172,13.8716887829835,13.9024070114976,14.4688944552408,14.4265811268164,14.2736953660123
173,14.0741434163939,13.9526806584109,14.6772412588532,14.5684275847489,14.3539112767658
174,14.2836567861559,14.0072320536753,14.826467069065,14.6586792252293,14.3959241494622
175,14.4837103026848,14.068516761511,14.9287374055149,14.7121534646258,14.4148741269048
176,14.6609165074704,14.1325789069418,14.9961949114458,14.7415861511462,14.4217043646219
177,14.8059368948864,14.1921231295965,15.0394223947995,14.7567743311223,14.4231486930595
178,14.9129389100524,14.2392294903486,15.0667596545825,14.7645928019873,14.4226528091787
179,14.9785261111932,14.2672167338729,15.0841692229166,14.7695248751264,14.4217254004018
180,15.0007181599637,14.2716971862088,15.0953540432325,14.7743305322729,14.4212341185624
181,14.9782578340189,14.2511143361446,15.1018709183892,14.7805229679968,14.4222801364108
182,14.9103596292587,14.2070347126085,15.1030665585664,14.7884296349645,14.426426214116
183,14.7969518619781,14.1442904465972,15.095781658878,14.7967557286369,14.4351765572661
184,14.6394409843446,14.0708250578181,15.0739027719171,14.8017319660484,14.4487380666939
185,14.4419778464996,13.9968560941638,15.027963670699,14.7960966128725,14.4642796044373
186,14.2130490349694,13.9328674065755,14.9450792894831,14.768293791084,14.4741403486667
187,13.9668555973083,13.8862019603856,14.8095262567573,14.7023139902329,14.4646132606728
188,13.7233541871076,13.8567887370318,14.6042925885709,14.5785461659574,14.4159062125311
189,13.5053390243024,13.8335138633078,14.3139636486358,14.3759282716832,14.303649687285
190,13.3314753646043,13.7931190684859,13.9294064592995,14.0757038131359,14.1020766987962
191,13.2067464759887,13.702692985476,13.4546360138669,13.6672536714661,13.7890192205896
192,13.1152807973795,13.5254154819851,12.9151599060722,13.1564312423528,13.3531787169898
193,13.0210550686664,13.228586839077,12.3633679805194,12.575353069114,12.8041323458155
194,12.8775316564615,12.7936424834083,11.8700753507362,11.9874286614379,12.1833760259782
195,12.6423030521244,12.2285868358769,11.4915446876143,11.4732385759543,11.5674422282797
196,12.2922854066208,11.5809843157853,11.2252855244813,11.0867675059325,11.0446527391887
197,11.8369144080701,10.9401917744722,10.9971247467456,10.8072696277568,10.6590088850736
198,11.3248712690253,10.4058406604168,10.6988823008546,10.5397707549933,10.3644613575358
199,10.8322762275915,10.0193906628618,10.2451283345654,10.170760176392,10.0471291064103
200,10.4209284939106,9.72040386677592,9.61812736080399,9.63242151140474,9.59877399036417
201,10.0875584870041,9.38955636909206,8.89559944894706,8.9473193036762,8.98411739344037
202,9.758890090493,8.93916448729311,8.24036893451106,8.24557725635133,8.28034132514305
203,9.34849831260691,8.38198725737313,7.80195965473757,7.71241990851665,7.66752391710572
204,8.82987962559255,7.85134935516088,7.57757421691955,7.43930210448418,7.31369114405648
205,8.28344998624969,7.53411734808546,7.4197905457775,7.33056291713258,7.21167268881362
206,7.8817033335392,7.50861959476446,7.19667376950644,7.21542153495134,7.19248519721621
207,7.76839612742993,7.66377528244213,6.92592380915059,7.02267956609568,7.10960925513548
208,7.91603391805538,7.82761027110523,6.80540403668027,6.86876741592397,6.98283547261643
209,8.16690519292889,7.93207232901409,7.06795750084363,7.00390540159179,7.02109974365632
210,8.41254937345192,8.06476669010479,7.69814514866141,7.54869118132082,7.44263705100885
211,8.69233651865698,8.37596126605436,8.43028912805021,8.31122739967449,8.18270946893309
212,9.11732373201501,8.88629799556123,9.05693668288248,9.02300478358763,8.96110395922197
213,9.67729914558869,9.45429305042822,9.58459614673069,9.60667908195793,9.61252914713268
214,10.1949903324051,9.98580842225932,10.1191607685885,10.151011957811,10.1802554303051
215,10.5347161960904,10.5539521731941,10.6649717590502,10.7036223248025,10.7408116003835
216,10.8001942769143,11.2261213098432,11.1423267012672,11.1939308805944,11.2491810837627
217,11.2561558333409,11.8647658665293,11.5975596570132,11.6212422215462,11.6650400834697
218,11.948188177935,12.2853300932314,12.1846342827019,12.145792757012,12.1261155960143
219,12.6107380107723,12.5423632379063,12.8502248042258,12.8065168191841,12.7540780110396
220,13.0579348266301,12.9006586420427,13.3358310773206,13.361334791285,13.3632289504062
221,13.3751050724069,13.431591408982,13.5782732838041,13.6498711768233,13.7154940057195
222,13.7113696190007,13.907214993861,13.8322338743887,13.8633652676707,13.9096076469061
223,14.0446960779301,14.2246812346304,14.247864619084,14.2368004485415,14.2296998895083
224,14.3135408997769,14.5270255145894,14.6130542424155,14.6256274608705,14.6299824312598
225,14.5949718576691,14.8494543246778,14.8226505520939,14.8461128444329,14.8739322046894
226,14.9309232267603,15.0390689735036,15.0768284763212,15.060730791852,15.0528543360107
227,15.2049320477709,15.1288033793659,15.3899824287527,15.3793525795108,15.3564137736789
228,15.3823492459522,15.3319868343127,15.5077147290133,15.5535065165832,15.5857387566071
229,15.5703342489186,15.6018779502075,15.4764355524572,15.5153605376668,15.5649073533466
230,15.7468552206478,15.7521030635248,15.6023961540171,15.5778786482032,15.5646108701235
231,15.8201818299748,15.8519542059144,15.8160664983922,15.7910853317127,15.7580494240356
232,15.915643467397,15.9704228659342,15.8955572555573,15.8952090591852,15.8908478834889
233,16.117854794666,15.9692282806428,15.9447322617221,15.9295359077892,15.9164311053604
234,16.2071750564901,15.9244016614839,15.9834566411923,15.9783783468051,15.9650793834223
235,16.1307574071549,16.0409752342208,15.8584090203432,15.8756467148515,15.891598956068
236,16.1390658534999,16.1067406387191,15.7680713520179,15.7374683012511,15.7188345653441
237,16.1904106410557,15.9493850447534,15.8575019279247,15.8023728915773,15.7415333541492
238,16.0671210713562,15.8453570715312,15.7822607525096,15.7775204876226,15.7606177301047
239,15.9419074913677,15.8264780744197,15.5281598373942,15.5201183564732,15.5185096076097
240,15.9159373015218,15.6384469446483,15.4165296017229,15.3657826922912,15.3171213625815
241,15.7296307130764,15.438563488821,15.2822165646528,15.2543971308248,15.2173873999631
242,15.4984335128024,15.3150329027881,15.0005680833931,14.9775643483273,14.9566993611874
243,15.4706886129714,15.0238303895276,14.7984358708953,14.7497217901521,14.7009464086348
244,15.3312104406256,14.7698708278863,14.528779945822,14.5035050788263,14.4717453066342
245,15.0084606980344,14.7034482303323,14.1702132155026,14.1288500966567,14.0943984158867
246,14.8356927534123,14.4322506253891,14.044331239702,13.9633258926649,13.8818458800151
247,14.6191171684872,14.0868654671697,13.8512362189869,13.8130702261547,13.7652553994101
248,14.2642236915621,13.9354416209438,13.4638033392599,13.4279616387313,13.398385936898
249,14.183910545861,13.604466277876,13.3025509747635,13.2320630532908,13.161255886759
250,14.0837808835017,13.2933672452612,13.0804084295397,13.0619314575781,13.0351937653107
251,13.6235469488546,13.3715250192206,12.7185094084503,12.6850511757053,12.6659819643962
252,13.3724437046767,13.2102538066198,12.8279549183719,12.7320360132295,12.6388908685274
253,13.384334906809,12.8247495986,12.9272063442266,12.9111886149506,12.8807201494167
254,13.1924802807173,12.8822123847405,12.6634599378982,12.6864893538395,12.7170424430277
255,13.1764228452322,12.9667297117325,12.7613338370196,12.7239120290515,12.695164153033
256,13.3810184137876,12.9339448221566,13.0313405048332,13.0350283919986,13.0323070642468
257,13.3234322382251,13.2808040751223,13.1047176133568,13.124396069123,13.1531131685701
258,13.3855364577347,13.5654670263474,13.5136318181154,13.4863788985556,13.4642273940284
259,13.7662032248504,13.6519803218244,13.959846897026,13.9812359549014,13.9950500309954
260,13.9663166401455,14.0458682080106,14.1432369892553,14.1857610293233,14.233201124376
261,14.2027632734549,14.4187532457263,14.5395720483919,14.5478105670724,14.5598588115196
262,14.6554535033557,14.6612851015729,14.9286977830595,14.9625020531186,14.9936534472462
263,14.9186247774506,15.1442410525352,15.1877601072302,15.2129843160214,15.2437771398038
264,15.1919087941522,15.5189140291074,15.675603334718,15.6774414795937,15.6787282581243
265,15.6938595107922,15.7441182870228,16.0430125463545,16.0795525687498,16.112277112445
266,16.0722194224198,16.2004171737757,16.251679670854,16.2776753501986,16.308440912117
267,16.3613734895261,16.6131560631021,16.6806216570312,16.6791246747837,16.6777937945684
268,16.6944282874864,16.8726001455073,17.0506204906035,17.0688927488109,17.084375881564
269,16.9404206032036,17.1730485220939,17.2766761851447,17.2934002492673,17.311218827807
270,17.225248388391,17.3952017397025,17.5394823140684,17.5505828380132,17.5602247274141
271,17.5736301862654,17.6123969633044,17.7128734604652,17.7311398361502,17.7488654395794
272,17.7864255801024,17.9230285089226,17.9007688490433,17.900803147722,17.9023631158957
273,17.9825804859919,18.1115052666974,18.1683052493495,18.1655846558065,18.1605646748253
274,18.2550364227505,18.2473151076814,18.2980020462888,18.3068925363297,18.3146252307618
275,18.437279378561,18.4718233527377,18.4060213259684,18.4002940801738,18.3955075864455
276,18.5571076461342,18.6164510057213,18.5944716560971,18.5838386586726,18.5712951452869
277,18.7367710577671,18.6853274429385,18.6763724913602,18.6751895682147,18.6726721679669
278,18.907146179418,18.8252885683424,18.7146602733643,18.7031841194019,18.6922119889057
279,19.002068188713,18.9554256360438,18.8387404124784,18.8186969372902,18.7973937917582
280,19.0878711445375,18.9976490351762,18.9158544337811,18.90236113873,18.8872898797019
281,19.212781074713,19.0450945073062,18.9103222826143,18.8946303307601,18.8787719516449
282,19.3054456630458,19.1364729358598,18.9470068191616,18.9217206557685,18.8960494246562
283,19.3227829467117,19.1833328600624,19.0110635341031,18.9851256261952,18.9580244523897
284,19.3544508816792,19.167786560334,19.0103738402103,18.9879563419201,18.9645572549394
285,19.4378999123684,19.1813556161209,18.9810973351774,18.9560948308766,18.9308068205444
286,19.4953946975588,19.2374176985894,18.9985213135861,18.9677486341441,18.936870516795
287,19.5174219159673,19.2675847430822,19.0373215712189,19.0056233501868,18.9733968963168
288,19.5384056379055,19.2718645195952,19.0512132923647,19.0218046807834,18.99194401019
289,19.5356074604877,19.2743522336075,19.0515058532341,19.0226840021435,18.9938236085919
290,19.5247562264943,19.2603102760718,19.0490548551329,19.0212693548837,18.9934421310192
291,19.5620368389058,19.2555532807241,19.0425799909423,19.0164356274175,18.9905566244752
292,19.6242370339332,19.305157185833,19.0670267933437,19.0389337717152,19.0116612363484
293,19.6671837496027,19.3849996818158,19.1510210394281,19.121335380448,19.0922110189264
294,19.6919560420777,19.4545990505432,19.2654445598961,19.2403089928727,19.2153252130287
295,19.6861744990429,19.4947402318766,19.362616565213,19.3457584233293,19.3292515542599
296,19.6793607498124,19.4971614445708,19.4087086543099,19.3993553154233,19.3908450026317
297,19.765024234344,19.539101751414,19.4388373001128,19.4305430139599,19.4237322931157
298,19.8931720965636,19.6977951506447,19.573081775697,19.5603921038464,19.5491458866573
299,19.9121133918883,19.8466780689975,19.7952505440823,19.787887922764,19.7810323021406
300,19.8777150207707,19.8626056223964,19.9161957941084,19.9236834493839,19.9316785334071
301,19.9655443786935,19.8904267312944,19.9379281576195,19.9494111083095,19.9625038423678
302,20.1212578705008,20.0626458875425,20.0710608441497,20.0761242381211,20.0827642200858
303,20.2107441440783,20.2375817429477,20.2998035486721,20.3087101658032,20.3183634113642
304,20.3028486928241,20.3402026211928,20.4506132473657,20.4677122812641,20.4858443668519
305,20.4720995312746,20.4981120257514,20.5852923544886,20.6004281082121,20.6169921430607
